Team,nickname,abbrev,conference,location,home_venue,season
South Carolina,Gamecocks,SOCAR,SEC,"Columbia, SC",Colonial Life Arena,2024
South Carolina State,Bulldogs,SCSU,MEAC,"Orangeburg, SC",Smith-Hammond-Middleton Memorial Center,2024
South Dakota,Coyotes,SODAK,Summit,"Vermillion, SD",Sanford Coyote Sports Center,2024
South Dakota State,Jackrabbits,SDKSU,Summit,"Brookings, SD",Frost Arena,2024
South Florida,Bulls,USOFL,AAC,"Tampa, FL",Yuengling Center,2024
Southeast Missouri State,Redhawks,SEMO,OVC,"Cape Girardeau, MO",Show Me Center,2024
Southeastern Louisiana,Lions,SELU,Southland,"Hammond, LA",University Center (LA),2024
Southern,Jaguars,SUBR,SWAC,"Baton Rouge, LA",F.G. Clark Activity Center,2024
Southern Illinois,Salukis,SOILL,MVC,"Carbondale, IL",Banterra Center,2024
Southern Indiana,Screaming Eagles,USI,OVC,"Evansville, IN",Screaming Eagles Arena,2024
Southern Methodist,Mustangs,SMU,AAC,"Dallas, TX",Moody Coliseum,2024
Southern Mississippi,Golden Eagles,SOMIS,Sun Belt,"Hattiesburg, MS",Reed Green Coliseum,2024
Southern Utah,Thunderbirds,SUU,WAC,"Cedar City, UT",America First Events Center,2024
St. Bonaventure,Bonnies,STBN,A-10,"Saint Bonaventure, NY",Reilly Center,2024
St. Francis (PA),Red Flash,STFPA,NEC,"Loretto, PA",DeGol Arena,2024
St. John's,Red Storm,STJ,Big East,"Queens, NY",Carnesecca Arena,2024
St. Thomas-Minnesota,Tommies,STTOM,Summit,"Saint Paul, MN",Schoenecker Arena,2024
Stanford,Cardinal,STAN,Pac-12,"Stanford, CA",Maples Pavilion,2024
Stephen F. Austin,Lumberjacks,SFA,WAC,"Nacogdoches, TX",William R. Johnson Coliseum,2024
Stetson,Hatters,STET,A-Sun,"DeLand, FL",Edmunds Center,2024
Stonehill,Skyhawks,STONE,NEC,"South Easton, MA",Merkert Gymnasium,2024
Stony Brook,Seawolves,SB,CAA,"Stony Brook, NY",Island FCU Arena,2024
Syracuse,Orange,SYRA,ACC,"Syracuse, NY",JMA Wireless Dome,2024
Tarleton State,Texans,TARST,WAC,"Stephenville, TX",Wisdom Gym,2024
