Team,nickname,abbrev,conference,location,home_venue,season
Missouri State,Bears,MZZST,MVC,"Springfield, MO",Great Southern Bank Arena,2011
Monmouth,Hawks,MONM,NEC,"West Long Branch, NJ",OceanFirst Bank Center,2011
Montana,Grizzlies,MONT,Big Sky,"Missoula, MT",Dahlberg Arena,2011
Montana State,Fighting Bobcats,MTSTU,Big Sky,"Bozeman, MT",Worthington Arena,2011
Morehead State,Eagles,MRHD,OVC,"Morehead, KY",Ellis T. Johnson Arena,2011
Morgan State,Bears,MORST,MEAC,"Baltimore, MD",Talmadge L. Hill Field House,2011
Mount St. Mary's,Mountaineers,MSMU,NEC,"Emmitsburg, MD",Knott Arena,2011
Murray State,Racers,MRRY,OVC,"Murray, KY",CFSB Center,2011
N.J.I.T.,Highlanders,NJIT,GWC,"Newark, NJ",NJIT Wellness and Events Center,2011
Navy,Midshipmen,USNA,Patriot,"Annapolis, MD",Alumni Hall (Navy),2011
NC State,Wolfpack,NCST,ACC,"Raleigh, NC",PNC Arena,2011
Nebraska,Cornhuskers,UNL,Big 12,"Lincoln, NE",Pinnacle Bank Arena,2011
Nevada,Wolf Pack,UNR,WAC,"Reno, NV",Lawlor Events Center,2011
New Hampshire,Wildcats,NEWHA,AM East,"Durham, NH",Lundholm Gymnasium,2011
New Mexico,Lobos,UNM,MWC,"Albuquerque, NM",The Pit,2011
New Mexico State,Aggies,NMSU,WAC,"Las Cruces, NM",Pan American Center,2011
New Orleans,Privateers,NEWOR,INDEP,"New Orleans, LA",Lakefront Arena,2011
Niagara,Purple Eagles,NIAG,MAAC,"Niagara Falls, NY",Gallagher Center,2011
Nicholls State,Colonels,NICH,Southland,"Thibodaux, LA",David R. Stopher Gymnasium,2011
Norfolk State,Spartans,NORF,MEAC,"Norfolk, VA",Joseph G. Echols Hall,2011
North Carolina,Tar Heels,UNC,ACC,"Chapel Hill, NC",Dean E. Smith Center,2011
North Carolina A&T,Aggies,NC A&T,MEAC,"Greensboro, NC",Corbett Sports Center,2011
North Carolina Central,Eagles,NCCU,INDEP,"Durham, NC",McDougald-McLendon Arena,2011
North Dakota,Fighting Hawks,UND,GWC,"Grand Forks, ND",Betty Engelstad Sioux Center,2011
North Dakota State,Bison,NDSU,Summit,"Fargo, ND",Scheels Center,2011
North Florida,Ospreys,UNF,A-Sun,"Jacksonville, FL",UNF Arena,2011
North Texas,Mean Green,UNT,Sun Belt,"Denton, TX",The Super Pit,2011
Northeastern,Huskies,NEU,CAA,"Boston, MA",Matthews Arena,2011
Northern Arizona,Lumberjacks,NAU,Big Sky,"Flagstaff, AZ",J. Lawrence Walkup Skydome,2011
Northern Colorado,Bears,NOCOL,Big Sky,"Greeley, CO",Bank of Colorado Arena,2011
Northern Illinois,Huskies,NIU,MAC,"DeKalb, IL",NIU Convocation Center,2011
Northern Iowa,Panthers,UNI,MVC,"Cedar Falls, IA",McLeod Center,2011
Northwestern,Wildcats,NWU,Big Ten,"Evanston, IL",Welsh-Ryan Arena,2011
Northwestern State,Demons,NSU,Southland,"Natchitoches, LA",Prather Coliseum,2011
Notre Dame,Fighting Irish,ND,AAC,"South Bend, IN",Purcell Pavilion,2011
Oakland,Golden Grizzlies,OAKL,Summit,"Rochester, MI",OU Credit Union O'rena,2011
Ohio,Bobcats,OHIO,MAC,"Athens, OH",Convocation Center (OH),2011
Ohio State,Buckeyes,OSU,Big Ten,"Columbus, OH",Value City Arena,2011
Oklahoma,Sooners,OKLA,Big 12,"Norman, OK",Lloyd Noble Center,2011
Oklahoma State,Cowboys,OKST,Big 12,"Stillwater, OK",Gallagher-Iba Arena,2011
Old Dominion,Monarchs,ODU,CAA,"Norfolk, VA",Chartway Arena,2011
Ole Miss,Rebels,MISS,SEC,"Oxford, MS",The Sandy and John Black Pavilion at Ole Miss,2011
Oral Roberts,Golden Eagles,ORU,Summit,"Tulsa, OK",Mabee Center,2011
Oregon,Ducks,OREG,Pac-12,"Eugene, OR",Matthew Knight Arena,2011
Oregon State,Beavers,ORST,Pac-12,"Corvallis, OR",Gill Coliseum,2011
Pacific,Tigers,PACI,Big West,"Stockton, CA",Alex G. Spanos Center,2011
Penn State,Nittany Lions,PENST,Big Ten,"University Park, PA",Bryce Jordan Center,2011
Pennsylvania,Quakers,PENN,Ivy,"Philadelphia, PA",The Palestra,2011
Pepperdine,Waves,PEPP,WCC,"Malibu, CA",Firestone Fieldhouse,2011
Pittsburgh,Panthers,PITT,AAC,"Pittsburgh, PA",Petersen Events Center,2011
Portland,Pilots,UP,WCC,"Portland, OR",Chiles Center,2011
Portland State,Vikings,PORTL,Big Sky,"Portland, OR",Viking Pavilion,2011
Prairie View A&M,Panthers,PVAMU,SWAC,"Prairie View, TX",William Nicks Building,2011
Presbyterian,Blue Hose,PRSBY,Big South,"Clinton, SC",Ross E. Templeton P.E. Center,2011
Princeton,Tigers,PRIN,Ivy,"Princeton, NJ",Jadwin Gymnasium,2011
Providence,Friars,PROV,AAC,"Providence, RI",Amica Mutual Pavilion,2011
Purdue,Boilermakers,PURD,Big Ten,"West Lafayette, IN",Mackey Arena,2011
Quinnipiac,Bobcats,QUIN,NEC,"Hamden, CT",M&T Bank Arena,2011
Radford,Highlanders,RADF,Big South,"Radford, VA",Donald N. Dedmon Center,2011
Rhode Island,Rams,URI,A-10,"Kingston, RI",Ryan Center,2011
Rice,Owls,RICE,C-USA,"Houston, TX",Tudor Fieldhouse,2011
Richmond,Spiders,RICH,A-10,"Richmond, VA",Robins Center,2011
Rider,Broncs,RIDER,MAAC,"Lawrenceville, NJ",Alumni Gymnasium (Rider),2011
Robert Morris,Colonials,RMU,NEC,"Moon Township, PA",UPMC Events Center,2011
Rutgers,Scarlet Knights,RUTG,AAC,"Piscataway, NJ",Jersey Mike's Arena,2011
Sacramento State,Hornets,CSUS,Big Sky,"Sacramento, CA",The Nest,2011
Sacred Heart,Pioneers,HEART,NEC,"Fairfield, CT",William H. Pitt Center,2011
Saint Joseph's,Hawks,STJOE,A-10,"Philadelphia, PA",Michael J. Hagan '85 Arena,2011
Saint Louis,Billikens,STLOU,A-10,"St. Louis, MO",Chaifetz Arena,2011
Saint Mary's,Gaels,STMRY,WCC,"Moraga, CA",University Credit Union Pavilion,2011
Saint Peter's,Peacocks,STPC,MAAC,"Jersey City, NJ",Run Baby Run Arena,2011
Sam Houston State,Bearkats,SHSU,Southland,"Huntsville, TX",Bernard G. Johnson Coliseum,2011
Samford,Bulldogs,SAMF,SoCon,"Homewood, AL",Pete Hanna Center,2011
San Diego,Toreros,SAND,WCC,"San Diego, CA",Jenny Craig Pavilion,2011
San Diego State,Aztecs,SDSU,MWC,"San Diego, CA",Viejas Arena,2011
San Francisco,Dons,SANFR,WCC,"San Francisco, CA",War Memorial at the Sobrato Center,2011
San Jose State,Spartans,SJSU,WAC,"San Jose, CA",Provident Credit Union Event Center,2011
Santa Clara,Broncos,SCU,WCC,"Santa Clara, CA",Leavey Center,2011
Savannah State,Tigers,SST,INDEP,"Savannah, GA",Tiger Arena,2011
Seattle,Redhawks,SEA,INDEP,"Seattle, WA",Redhawk Center,2011
Seton Hall,Pirates,SETON,AAC,"Newark, NJ",Prudential Center,2011
Siena,Saints,SIENA,MAAC,"Albany, NY",MVP Arena,2011
SIU-Edwardsville,Cougars,SIUE,OVC,"Edwardsville, IL",First Community Arena at the Vadalabene Center,2011
South Alabama,Jaguars,USA,Sun Belt,"Mobile, AL",Mitchell Center,2011
South Carolina,Gamecocks,SOCAR,SEC,"Columbia, SC",Colonial Life Arena,2011
South Carolina State,Bulldogs,SCSU,MEAC,"Orangeburg, SC",Smith-Hammond-Middleton Memorial Center,2011
South Dakota,Coyotes,SODAK,GWC,"Vermillion, SD",Sanford Coyote Sports Center,2011
South Dakota State,Jackrabbits,SDKSU,Summit,"Brookings, SD",Frost Arena,2011
South Florida,Bulls,USOFL,AAC,"Tampa, FL",Yuengling Center,2011
Southeast Missouri State,Redhawks,SEMO,OVC,"Cape Girardeau, MO",Show Me Center,2011
Southeastern Louisiana,Lions,SELU,Southland,"Hammond, LA",University Center (LA),2011
Southern,Jaguars,SUBR,SWAC,"Baton Rouge, LA",F.G. Clark Activity Center,2011
Southern Illinois,Salukis,SOILL,MVC,"Carbondale, IL",Banterra Center,2011
Southern Methodist,Mustangs,SMU,C-USA,"Dallas, TX",Moody Coliseum,2011
Southern Mississippi,Golden Eagles,SOMIS,C-USA,"Hattiesburg, MS",Reed Green Coliseum,2011
Southern Utah,Thunderbirds,SUU,Summit,"Cedar City, UT",America First Events Center,2011
St. Bonaventure,Bonnies,STBN,A-10,"Saint Bonaventure, NY",Reilly Center,2011
St. Francis (NY),Terriers,SFC,NEC,"Brooklyn, NY",Pope Physical Education Center,2011
St. Francis (PA),Red Flash,STFPA,NEC,"Loretto, PA",DeGol Arena,2011
St. John's,Red Storm,STJ,AAC,"Queens, NY",Carnesecca Arena,2011
Stanford,Cardinal,STAN,Pac-12,"Stanford, CA",Maples Pavilion,2011
Stephen F. Austin,Lumberjacks,SFA,Southland,"Nacogdoches, TX",William R. Johnson Coliseum,2011
Stetson,Hatters,STET,A-Sun,"DeLand, FL",Edmunds Center,2011
Stony Brook,Seawolves,SB,AM East,"Stony Brook, NY",Island FCU Arena,2011
Syracuse,Orange,SYRA,AAC,"Syracuse, NY",JMA Wireless Dome,2011
TCU,Horned Frogs,TCU,MWC,"Fort Worth, TX",Ed and Rae Schollmaier Arena,2011
Temple,Owls,TEM,A-10,"Philadelphia, PA",Liacouras Center,2011
Tennessee,Volunteers,TENN,SEC,"Knoxville, TN",Thompson-Boling Arena,2011
Tennessee State,Tigers,TNST,OVC,"Nashville, TN",Gentry Center,2011
Tennessee Tech,Golden Eagles,TNTCH,OVC,"Cookeville, TN",Hooper Eblen Center,2011
Tennessee-Martin,Skyhawks,UTM,OVC,"Martin, TN",Kathleen and Tom Elam Center,2011
Texas,Longhorns,TEXAS,Big 12,"Austin, TX",Moody Center,2011
Texas A&M,Aggies,TAMU,Big 12,"College Station, TX",Reed Arena,2011
Texas A&M-CC,Islanders,TAMU-CC,Southland,"Corpus Christi, TX",American Bank Center,2011
Texas Southern,Tigers,TEXSO,SWAC,"Houston, TX",H&PE Arena,2011
Texas State,Bobcats,TXST,Southland,"San Marcos, TX",Strahan Arena at the University Events Center,2011
Texas Tech,Red Raiders,TXTCH,Big 12,"Lubbock, TX",United Supermarkets Arena,2011
Texas-Arlington,Mavericks,UTA,Southland,"Arlington, TX",College Park Center,2011
Texas-RGV,Vaqueros,UTRGV,GWC,"Edinburg, TX",UTRGV Fieldhouse,2011
Texas-San Antonio,Roadrunners,UTSA,Southland,"San Antonio, TX",UTSA Convocation Center,2011
The Citadel,Bulldogs,CTDL,SoCon,"Charleston, SC",McAlister Field House,2011
Toledo,Rockets,U of T,MAC,"Toledo, OH",Savage Arena,2011
Towson,Tigers,TOWS,CAA,"Towson, MD",SECU Arena,2011
Troy,Trojans,TROY,Sun Belt,"Troy, AL",Trojan Arena,2011
Tulane,Green Wave,TULAN,C-USA,"New Orleans, LA",Avron B. Fogelman Arena in the Devlin Fieldhouse,2011
Tulsa,Golden Hurricane,TULSA,C-USA,"Tulsa, OK",Donald W. Reynolds Center,2011
UAB,Blazers,UAB,C-USA,"Birmingham, AL",Bartow Arena,2011
UC Davis,Aggies,UCD,Big West,"Davis, CA",University Credit Union Center,2011
UC Irvine,Anteaters,UCI,Big West,"Irvine, CA",Bren Events Center,2011
UC Riverside,Highlanders,UCR,Big West,"Riverside, CA",SRC Arena,2011
UC Santa Barbara,Gauchos,UCSB,Big West,"Santa Barbara, CA",The Thunderdome,2011
UCF,Knights,UCF,C-USA,"Orlando, FL",Addition Financial Arena,2011
UCLA,Bruins,UCLA,Pac-12,"Los Angeles, CA",Pauley Pavilion,2011
UConn,Huskies,UConn,AAC,"Storrs, CT",Harry A. Gampel Pavilion,2011
UMBC,Retrievers,UMBC,AM East,"Baltimore, MD",Chesapeake Employers Insurance Arena,2011
UMKC,Kangaroos,UMKC,Summit,"Kansas City, MO",Swinney Recreation Center,2011
UNC Asheville,Bulldogs,UNCA,Big South,"Asheville, NC",Kimmel Arena,2011
UNC Greensboro,Spartans,UNCG,SoCon,"Greensboro, NC",Greensboro Coliseum Fieldhouse,2011
UNC Wilmington,Seahawks,UNCW,CAA,"Wilmington, NC",Trask Coliseum,2011
UNLV,Runnin' Rebels,UNLV,MWC,"Las Vegas, NV",Thomas & Mack Center,2011
USC,Trojans,USC,Pac-12,"Los Angeles, CA",Galen Center,2011
USC Upstate,Spartans,USCU,A-Sun,"Spartanburg, SC",G.B. Hodge Center,2011
Utah,Utes,U of U,MWC,"Salt Lake City, UT",Jon M. Huntsman Center,2011
Utah State,Aggies,USU,WAC,"Logan, UT",Dee Glen Smith Spectrum,2011
Utah Valley,Wolverines,UVU,GWC,"Orem, UT",UCCU Center,2011
UTEP,Miners,UTEP,C-USA,"El Paso, TX",Don Haskins Center,2011
Valparaiso,Beacons,VAL,Horizon,"Valparaiso, IN",Athletics-Recreation Center,2011
Vanderbilt,Commodores,VANDY,SEC,"Nashville, TN",Memorial Gymnasium (TN),2011
VCU,Rams,VCU,CAA,"Richmond, VA",Stuart C. Siegel Center,2011
Vermont,Catamounts,UVM,AM East,"Burlington, VT",Patrick Gymnasium,2011
Villanova,Wildcats,VILL,AAC,"Villanova, PA",Finneran Pavilion,2011
Virginia,Cavaliers,UVA,ACC,"Charlottesville, VA",John Paul Jones Arena,2011
Virginia Military,Keydets,VMI,Big South,"Lexington, VA",Cameron Hall,2011
Virginia Tech,Hokies,VT,ACC,"Blacksburg, VA",Cassell Coliseum,2011
Wagner,Seahawks,WAGNR,NEC,"Staten Island, NY",Spiro Sports Center,2011
Wake Forest,Demon Deacons,WF,ACC,"Winston-Salem, NC",Lawrence Joel Veterans Memorial Coliseum,2011
Washington,Huskies,UWASH,Pac-12,"Seattle, WA",Alaska Airlines Arena at Hec Edmundson Pavilion,2011
Washington State,Cougars,WSU,Pac-12,"Pullman, WA",Friel Court at Beasley Coliseum,2011
Weber State,Wildcats,WEBER,Big Sky,"Ogden, UT",Dee Events Center,2011
West Virginia,Mountaineers,WVU,AAC,"Morgantown, WV",WVU Coliseum,2011
Western Carolina,Catamounts,WCU,SoCon,"Cullowhee, NC",Ramsey Regional Activity Center,2011
Western Illinois,Leathernecks,WIU,Summit,"Macomb, IL",LeRoy A. Ufkes Court at Western Hall,2011
Western Kentucky,Hilltoppers,WKU,Sun Belt,"Bowling Green, KY",E. A. Diddle Arena,2011
Western Michigan,Broncos,WMY,MAC,"Kalamazoo, MI",University Arena (MI),2011
Wichita State,Shockers,WICHI,MVC,"Wichita, KS",Charles Koch Arena,2011
William & Mary,Tribe,W&M,CAA,"Williamsburg, VA",Kaplan Arena,2011
Winthrop,Eagles,WIN,Big South,"Rock Hill, SC",Winthrop Coliseum,2011
Wisconsin,Badgers,UWISC,Big Ten,"Madison, WI",Kohl Center,2011
Wofford,Terriers,WOFF,SoCon,"Spartanburg, SC",Jerry Richardson Indoor Stadium,2011
Wright State,Raiders,WRST,Horizon,"Dayton, OH",Nutter Center,2011
Wyoming,Cowboys,UWYOM,MWC,"Laramie, WY",Arena Auditorium,2011
Xavier,Musketeers,XAV,A-10,"Cincinnati, OH",Cintas Center,2011
Yale,Bulldogs,YALE,Ivy,"New Haven, CT",John J. Lee Amphitheater,2011
Youngstown State,Penguins,YSU,Horizon,"Youngstown, OH",Beeghly Center,2011
Air Force,Falcons,AF,MWC,"Colorado Springs, CO",Clune Arena,2010
Akron,Zips,AKR,MAC,"Akron, OH",James A. Rhodes Arena,2010
Alabama,Crimson Tide,UA,SEC,"Tuscaloosa, AL",Coleman Coliseum,2010
Alabama A&M,Bulldogs,AAMU,SWAC,"Huntsville, AL",Event Center,2010
Alabama State,Hornets,ALAST,SWAC,"Montgomery, AL",Dunn-Oliver Acadome,2010
Albany,Great Danes,ALBNY,AM East,"Albany, NY",Broadview Center,2010
Alcorn State,Braves,ALCST,SWAC,"Lorman, MS",Davey L. Whitney Complex,2010
American University,Eagles,AMERU,Patriot,"Washington, DC",Bender Arena,2010
Appalachian State,Mountaineers,APPST,SoCon,"Boone, NC",George M. Holmes Convocation Center,2010
Arizona,Wildcats,ARZ,Pac-12,"Tucson, AZ",McKale Center,2010
Arizona State,Sun Devils,ASU,Pac-12,"Tempe, AZ",Desert Financial Arena,2010
Arkansas,Razorbacks,ARK,SEC,"Fayetteville, AR",Bud Walton Arena,2010
Arkansas State,Red Wolves,ARKST,Sun Belt,"Jonesboro, AR",First National Bank Arena,2010
Arkansas-Pine Bluff,Golden Lions,UAPB,SWAC,"Pine Bluff, AR",H.O. Clemmons Arena,2010
Army West Point,Black Knights,USMA,Patriot,"West Point, NY",Christl Arena,2010
Auburn,Tigers,AUB,SEC,"Auburn, AL",Neville Arena,2010
Austin Peay,Governors,APSU,OVC,"Clarksville, TN",F&M Bank Arena,2010
Ball State,Cardinals,BLLST,MAC,"Muncie, IN",John E. Worthen Arena,2010
Baylor,Bears,BAYL,Big 12,"Waco, TX",Foster Pavilion,2010
Belmont,Bruins,BLMNT,A-Sun,"Nashville, TN",Curb Event Center Arena,2010
Bethune-Cookman,Wildcats,BTHCK,MEAC,"Daytona Beach, FL",Moore Gymnasium (FL),2010
Binghamton,Bearcats,BNGH,AM East,"Binghamton, NY",Events Center (Binghamton),2010
Boise State,Broncos,BOISE,WAC,"Boise, ID",ExtraMile Arena,2010
Boston College,Eagles,BOS,ACC,"Chestnut Hill, MA",Silvio O. Conte Forum,2010
Boston University,Terriers,BSTN,AM East,"Boston, MA",Case Gym,2010
Bowling Green,Falcons,BGSU,MAC,"Bowling Green, OH",Stroh Center,2010
Bradley,Braves,BRDLY,MVC,"Peoria, IL",Carver Arena,2010
Brigham Young,Cougars,BYU,MWC,"Provo, UT",Marriott Center,2010
Brown,Bears,BRWN,Ivy,"Providence, RI",Pizzitola Sports Center,2010
Bryant,Bulldogs,BRYNT,NEC,"Smithfield, RI",Chace Athletic Center,2010
Bucknell,Bison,BUCK,Patriot,"Lewisburg, PA",Sojka Pavilion,2010
Buffalo,Bulls,BUFF,MAC,"Buffalo, NY",Alumni Arena,2010
Butler,Bulldogs,BTLR,Horizon,"Indianapolis, IN",Hinkle Fieldhouse,2010
Cal Poly,Mustangs,POLY,Big West,"San Luis Obispo, CA",Robert A. Mott Athletics Center,2010
Cal State Bakersfield,Roadrunners,CSUB,INDEP,"Bakersfield, CA",Icardo Center,2010
Cal State Fullerton,Titans,CSFUL,Big West,"Fullerton, CA",Titan Gym,2010
Cal State Northridge,Matadors,CSUN,Big West,"Northridge, CA",Premier America Credit Union Arena,2010
California,Golden Bears,Cal,Pac-12,"Berkeley, CA",Haas Pavilion,2010
Campbell,Fighting Camels,CAM,A-Sun,"Buies Creek, NC",John W. Pope Jr. Convocation Center,2010
Canisius,Golden Griffins,CAN,MAAC,"Buffalo, NY",Koessler Athletic Center,2010
Centenary,Gentlemen,CCL,Summit,"Shreveport, LA",Gold Dome,2010
Central Arkansas,Bears,UCA,Southland,"Conway, AR",Farris Center,2010
Central Connecticut State,Blue Devils,CCSU,NEC,"New Britain, CT",William H. Detrick Gymnasium,2010
Central Michigan,Chippewas,CMU,MAC,"Mount Pleasant, MI",McGuirk Arena,2010
Charleston,Cougars,C of C,SoCon,"Charleston, SC",TD Arena,2010
Charleston Southern,Buccaneers,CHASO,Big South,"Charleston, SC",Buccaneer Fieldhouse,2010
Charlotte,49ers,CHAR,A-10,"Charlotte, NC",Dale F. Halton Arena,2010
Chattanooga,Mocs,CHATT,SoCon,"Chattanooga, TN",McKenzie Arena,2010
Chicago State,Cougars,CHIST,GWC,"Chicago, IL",Emil and Patricia Jones Convocation Center,2010
Cincinnati,Bearcats,CINCY,AAC,"Cincinnati, OH",Fifth Third Arena,2010
Clemson,Tigers,CLEM,ACC,"Clemson, SC",Littlejohn Coliseum,2010
Cleveland State,Vikings,CLEST,Horizon,"Cleveland, OH",Wolstein Center,2010
Coastal Carolina,Chanticleers,CCU,Big South,"Conway, SC",The HTC Center,2010
Colgate,Raiders,COLGT,Patriot,"Hamilton, NY",Cotterell Court,2010
Colorado,Buffaloes,COLO,Big 12,"Boulder, CO",CU Events Center,2010
Colorado State,Rams,COLST,MWC,"Fort Collins, CO",Moby Arena,2010
Columbia,Lions,COM,Ivy,"New York, NY",Francis S. Levien Gymnasium,2010
Coppin State,Eagles,COPST,MEAC,"Baltimore, MD",Physical Education Complex,2010
Cornell,Big Red,COR,Ivy,"Ithaca, NY",Newman Arena,2010
Creighton,Bluejays,CREI,MVC,"Omaha, NE",CHI Health Center Omaha,2010
Dartmouth,Big Green,DART,Ivy,"Hanover, NH",Edward Leede Arena,2010
Davidson,Wildcats,DAV,SoCon,"Davidson, NC",John M. Belk Arena,2010
Dayton,Flyers,DAY,A-10,"Dayton, OH",UD Arena,2010
Delaware,Fightin Blue Hens,DEL,CAA,"Newark, DE",Bob Carpenter Center,2010
Delaware State,Hornets,DESU,MEAC,"Dover, DE","Memorial Hall (Dover, DE)",2010
Denver,Pioneers,DEN,Sun Belt,"Denver, CO",Hamilton Gymnasium,2010
DePaul,Blue Demons,DEP,AAC,"Chicago, IL",Wintrust Arena,2010
Detroit-Mercy,Titans,UDM,Horizon,"Detroit, MI",Calihan Hall,2010
Drake,Bulldogs,DRAKE,MVC,"Des Moines, IA",The Knapp Center,2010
Drexel,Dragons,DREX,CAA,"Philadelphia, PA",Daskalakis Athletic Center,2010
Duke,Blue Devils,DUKE,ACC,"Durham, NC",Cameron Indoor Stadium,2010
Duquesne,Dukes,DUQ,A-10,"Pittsburgh, PA",UPMC Cooper Fieldhouse,2010
East Carolina,Pirates,ECAR,C-USA,"Greenville, NC",Williams Arena at Minges Coliseum,2010
East Tennessee State,Buccaneers,ETSU,A-Sun,"Johnson City, TN",Freedom Hall Civic Center,2010
Eastern Illinois,Panthers,EIU,OVC,"Charleston, IL",Lantz Arena,2010
Eastern Kentucky,Colonels,EKU,OVC,"Richmond, KY",Baptist Health Arena,2010
Eastern Michigan,Eagles,EMICH,MAC,"Ypsilanti, MI",George Gervin GameAbove Center,2010
Eastern Washington,Eagles,EWASH,Big Sky,"Cheney, WA",Reese Court,2010
Elon,Phoenix,ELON,SoCon,"Elon, NC",Schar Center,2010
Evansville,Purple Aces,UE,MVC,"Evansville, IN",Ford Center,2010
Fairfield,Stags,FAIR,MAAC,"Fairfield, CT",Leo D. Mahoney Arena,2010
Fairleigh Dickinson,Knights,FDU,NEC,"Hackensack, NJ",Bogota Savings Bank Center,2010
Florida,Gators,FLA,SEC,"Gainesville, FL",Exactech Arena at the Stephen C. O'Connell Center,2010
Florida A&M,Rattlers,FAMU,MEAC,"Tallahassee, FL",Al Lawson Center,2010
Florida Atlantic,Owls,FAU,Sun Belt,"Boca Raton, FL",Eleanor R. Baldwin Arena,2010
Florida Gulf Coast,Eagles,FGCU,A-Sun,"Fort Myers, FL",Alico Arena,2010
Florida International,Golden Panthers,FIU,Sun Belt,"Miami, FL",Ocean Bank Convocation Center,2010
Florida State,Seminoles,FLAST,ACC,"Tallahassee, FL",Donald L. Tucker Center,2010
Fordham,Rams,FORD,A-10,"Bronx, NY",Rose Hill Gymnasium,2010
Fort Wayne,Mastodons,IPFW,Summit,"Fort Wayne, IN",Allen County War Memorial Coliseum,2010
Fresno State,Bulldogs,FRSNO,WAC,"Fresno, CA",Save Mart Center,2010
Furman,Paladins,FRMN,SoCon,"Greenville, SC",Timmons Arena,2010
Gardner-Webb,Runnin' Bulldogs,GWU,Big South,"Boiling Springs, NC",Paul Porter Arena,2010
George Mason,Patriots,GMU,CAA,"Fairfax, VA",EagleBank Arena,2010
George Washington,Revolutionaries,GW,A-10,"Washington, DC",Charles E. Smith Center,2010
Georgetown,Hoyas,GTOWN,AAC,"Washington, DC",Capital One Arena,2010
Georgia,Bulldogs,UGA,SEC,"Athens, GA",Stegeman Coliseum,2010
Georgia Southern,Eagles,GASO,SoCon,"Statesboro, GA",W.S. Hanner Fieldhouse,2010
Georgia State,Panthers,GAST,CAA,"Atlanta, GA",GSU Convocation Center,2010
Georgia Tech,Yellow Jackets,GT,ACC,"Atlanta, GA",McCamish Pavilion,2010
Gonzaga,Bulldogs,ZAGS,WCC,"Spokane, WA",McCarthey Athletic Center,2010
Grambling State,Tigers,GRAMB,SWAC,"Grambling, LA",Fredrick C. Hobdy Assembly Center,2010
Green Bay,Phoenix,UWGB,Horizon,"Ashwaubenon, WI",Resch Center,2010
Hampton,Pirates,HMPTN,MEAC,"Hampton, VA",Convocation Center (VA),2010
Hartford,Hawks,UHA,AM East,"Hartford, CT",Chase Arena,2010
Harvard,Crimson,HAR,Ivy,"Cambridge, MA",Lavietes Pavilion,2010
Hawaii,Rainbow Warriors,HAW,WAC,"Honolulu, HI",Stan Sheriff Center,2010
High Point,Panthers,HP,Big South,"High Point, NC",Nido and Mariana Qubein Arena,2010
Hofstra,Pride,HOF,CAA,"Hempstead, NY",David S. Mack Sports and Exhibition Complex,2010
Holy Cross,Crusaders,HC,Patriot,"Worcester, MA",Hart Center,2010
Houston,Cougars,U of H,C-USA,"Houston, TX",Fertitta Center,2010
Houston Christian,Huskies,HCU,GWC,"Houston, TX",Sharp Gymnasium,2010
Howard,Bison,HWRD,MEAC,"Washington, DC",Burr Gymnasium,2010
Idaho,Vandals,IDAHO,WAC,"Moscow, ID",ICCU Arena,2010
Idaho State,Bengals,IDHST,Big Sky,"Pocatello, ID",Holt Arena,2010
Illinois,Fighting Illini,ILL,Big Ten,"Champaign, IL",State Farm Center,2010
Illinois State,Redbirds,ILLST,MVC,"Normal, IL",CEFCU Arena,2010
Illinois-Chicago,Flames,UIC,Horizon,"Chicago, IL",Credit Union 1 Arena,2010
Indiana,Hoosiers,IU,Big Ten,"Bloomington, IN",Simon Skjodt Assembly Hall,2010
Indiana State,Sycamores,INDST,MVC,"Terre Haute, IN",Hulman Center,2010
Iona,Gaels,IONA,MAAC,"New Rochelle, NY",Hynes Athletics Center,2010
Iowa,Hawkeyes,IOWA,Big Ten,"Iowa City, IA",Carver-Hawkeye Arena,2010
